,story_name,document_id,word,word_n,paragraph_n,number_word,lp_GroNLP_gpt2.medium.dutch.embeddings,lp_GroNLP_gpt2.small.dutch,lp_yhavinga_gpt2.large.dutch,lp_yhavinga_gpt.neo.125M.dutch,zipf_freq,zero_freq,lp,sd_lp,se_lp,wl,s_lp,s_wl,s_freq,s_lp1,s_lp2,s_lp3,s_wl1,s_wl2,s_wl3,s_freq1,s_freq2,s_freq3,word_rm_punct,pos
2276,de zilveren schaatsen,4,zweeg,18,15,482,-4.26405239105225,-5.07134199142456,-6.30992794036865,-7.95419788360596,2.96828618358649,False,-5.89988005161285,1.60735481232922,0.80367740616461,5,-0.21527301794069,-0.0729157292940105,-0.806926228963538,0.0679909363502428,0.814808568389547,-1.86842271806656,-0.713901874399868,-0.393408801846939,0.247577343258918,0.494352772831664,0.962383934742285,-1.52905501871149,zweeg,VERB
2277,de zilveren schaatsen,4,en,19,15,483,-1.49047422409058,-1.84670877456665,-4.4528636932373,-3.22645926475525,7.14201666738946,False,-2.75412648916245,1.35757508020622,0.678787540103111,2,0.577978669778858,-1.0343949469528,1.06187406342836,-0.21527301794069,0.0679909363502428,0.814808568389547,-0.0729157292940105,-0.713901874399868,-0.393408801846939,-0.806926228963538,0.494352772831664,0.962383934742285,en,CCONJ
2278,de zilveren schaatsen,4,liet,20,15,484,-3.48902487754822,-4.42720699310303,-5.34985733032227,-5.78751945495605,5.22485140762585,False,-4.76340216398239,1.02140598342022,0.510702991710111,4,0.0713079187162078,-0.393408801846939,0.203457591182817,0.577978669778858,-0.21527301794069,0.0679909363502428,-1.0343949469528,-0.0729157292940105,-0.713901874399868,1.06187406342836,-0.806926228963538,0.494352772831664,liet,VERB
2279,de zilveren schaatsen,4,hem,21,15,485,-2.12358546257019,-3.19721794128418,-2.39444065093994,-3.2161111831665,6.56424994639933,False,-2.7328388094902,0.558242217335778,0.279121108667889,3,0.583346696069666,-0.713901874399868,0.803177288130871,0.0713079187162078,0.577978669778858,-0.21527301794069,-0.393408801846939,-1.0343949469528,-0.0729157292940105,0.203457591182817,1.06187406342836,-0.806926228963538,hem,PRON
2280,de zilveren schaatsen,4,begaan.,22,15,486,-4.41498857736588,-3.89311635494232,-8.87703633308411,-10.4393540620804,1.95756231819472,False,-6.90612383186817,3.24818825703242,1.62409412851621,7,-0.469013357448741,0.568070415811847,-1.25948085904846,0.583346696069666,0.0713079187162078,0.577978669778858,-0.713901874399868,-0.393408801846939,-1.0343949469528,0.803177288130871,0.203457591182817,1.06187406342836,begaan,VERB
2281,de zilveren schaatsen,4,Enige,0,16,487,-8.27956962585449,-9.5093297958374,-10.5743255615234,-9.5452938079834,1.35550232686675,True,-9.47712969779968,0.938735333932602,0.469367666966301,5,-1.11733329154376,-0.0729157292940105,-1.52905501871149,-0.469013357448741,0.583346696069666,0.0713079187162078,0.568070415811847,-0.713901874399868,-0.393408801846939,-1.25948085904846,0.803177288130871,0.203457591182817,enige,DET
2282,de zilveren schaatsen,4,ogenblikken,1,16,488,-2.88851618766785,-1.83031606674194,-3.15529155731201,-3.63787794113159,3.095865016361,False,-2.87800043821335,0.764211425236123,0.382105712618061,11,0.546741887494943,1.85004270602356,-0.749802425469935,-1.11733329154376,-0.469013357448741,0.583346696069666,-0.0729157292940105,0.568070415811847,-0.713901874399868,-1.52905501871149,-1.25948085904846,0.803177288130871,ogenblikken,NOUN
2283,de zilveren schaatsen,4,later,2,16,489,-0.179061874747276,-0.419078856706619,-0.602756500244141,-5.51815223693848,5.35922129068987,False,-1.67976236715913,2.56480040232153,1.28240020116077,5,0.848896634611615,-0.0729157292940105,0.26362210773059,0.546741887494943,-1.11733329154376,-0.469013357448741,1.85004270602356,-0.0729157292940105,0.568070415811847,-0.749802425469935,-1.52905501871149,-1.25948085904846,later,ADJ
2284,de zilveren schaatsen,4,reden,3,16,490,-7.4059534072876,-8.09109592437744,-7.52107858657837,-9.68524169921875,5.21029402092074,False,-8.17584240436554,1.04990680889284,0.524953404446421,5,-0.789193047487087,-0.0729157292940105,0.196939477798031,0.848896634611615,0.546741887494943,-1.11733329154376,-0.0729157292940105,1.85004270602356,-0.0729157292940105,0.26362210773059,-0.749802425469935,-1.52905501871149,reden,NOUN
2285,de zilveren schaatsen,4,zij,4,16,491,-2.23769092559814,-1.97995352745056,-1.66925668716431,-2.34332227706909,5.87452922081007,False,-2.05755585432053,0.300504828926564,0.150252414463282,3,0.753630010780221,-0.713901874399868,0.494352772831664,-0.789193047487087,0.848896634611615,0.546741887494943,-0.0729157292940105,-0.0729157292940105,1.85004270602356,0.196939477798031,0.26362210773059,-0.749802425469935,zij,PRON
2286,de zilveren schaatsen,4,lachend,5,16,492,-7.43274450302124,-7.99195575714111,-7.40487718582153,-8.90733909606934,3.43468357291438,False,-7.93422913551331,0.702845568966161,0.351422784483081,7,-0.728266427048588,0.568070415811847,-0.598095404613662,0.753630010780221,-0.789193047487087,0.848896634611615,-0.713901874399868,-0.0729157292940105,-0.0729157292940105,0.494352772831664,0.196939477798031,0.26362210773059,lachend,VERB
